Category,Pricing Model,Tool Name,Direct Link,What it does?,Magic Prompt Template,Integration/Workflow,Best Hindi Resource Title,Best Hindi Resource Link,Best English Resource Title,Best English Resource Link,Contributor,Contact Email
Chat,Freemium,Claude,https://claude.ai/,Human-like AI for writing essays & coding.,"Role: [Expert Persona]. Context: [Project Details]. Task: Write a [Document Type]. Constraints: [Length, Tone].",Web Interface/API -> Generate 'Artifacts' (Code/Preview) -> Export to File,Claude 3.5 Sonnet Coding Guide (Chai aur Code),https://www.youtube.com/watch?v=rHqk0ZGb6qo,Claude 3.5 Sonnet Coding Guide - Build & Deploy (IndyDevDan),https://www.youtube.com/watch?v=zxMjOqM7DFs,N/A,N/A
Coding,Freemium,Replit,https://replit.com/,Build apps/websites by chatting.,Build a [Language] web app that [Function]. Use [Library] for the frontend and [Database] for the backend.,Import from GitHub -> Code in Browser -> Deploy directly via Replit Cloud,Replit Mobile Coding Tutorial (Apna College),https://www.youtube.com/watch?v=O1aX3V_I8lM,Replit Tutorial for Beginners - Build an App (Traversy Media),https://www.youtube.com/watch?v=B6HKbkzWdZ8,N/A,N/A
Coding,Freemium,Bolt.new,https://bolt.new/,Create & deploy full-stack apps in 1 click.,"Create a full-stack [App Type] using [Tech Stack]. It must include features: [Feature 1], [Feature 2]. Style: [Design System].",Prompt to Code -> Preview in StackBlitz -> Deploy to Netlify/Vercel,Build Full Stack App with Bolt.new (Sheryians Coding School),https://www.youtube.com/watch?v=iCwxkm2PkQE,Bolt.new: The AI Web Developer - Build a Startup (Greg Isenberg),https://www.youtube.com/watch?v=0_Ij8FEvY4U,N/A,N/A
Coding,Freemium,Lovable,https://lovable.dev/,"Build ""Airbnb"" clones by describing them.","Build a web app that functions like [Famous App] but for [Niche Industry]. Design style: [Adjective, e.g., Minimalist].",Describe Idea -> Generate React/Supabase App -> Sync to GitHub,Lovable.dev Complete Guide (Rahulogy),https://www.youtube.com/watch?v=srpj3bnbLSE,Lovable.dev Full Tutorial - Build Airbnb Clone (Matthew Berman),https://www.youtube.com/watch?v=yH3DyG7jqRo,N/A,N/A
Coding,Freemium,Cursor,https://cursor.com/,AI Code Editor (VS Code alternative).,"Refactor this code to improve [Metric, e.g., readability]. Add comments explaining [Complex Logic]. Fix [Specific Bug].",VS Code Fork -> Integrates with local files & terminal -> Copilot-style inline edits,Cursor AI Code Editor Full Course (Chai aur Code),https://www.youtube.com/watch?v=3289vhOUdKA,Cursor AI Editor Guide - Coding with AI (Midnight),https://www.youtube.com/watch?v=l30Eb76Tk5s,N/A,N/A
Coding,Paid (Standard),Runnable,https://runable.com/,Runs code/apps in cloud sandboxes instantly.,Spin up a sandbox for [Stack]. Install dependencies: [List]. specific constraint: [Memory/Region].,Select Stack -> Instant Cloud Sandbox -> Code & Test -> Deploy URL,Cloud Coding Environments Guide (CodeWithHarry),https://www.youtube.com/playlist?list=PLu0W_9lII9agp6kLA6dMa48od890aI6B-,Cloud Coding Environments Guide (FreeCodeCamp),https://www.youtube.com/playlist?list=PL5_Rrj9tYQAn6E0D7A757jGU43yfOU8Fl,N/A,N/A
Creative,Freemium,Suno,https://suno.com/,Create full songs from text.,"Create a [Genre] song about [Topic]. Mood: [Emotion]. Lyrics should include keywords: [Keyword 1], [Keyword 2].",Text Prompt -> Generate Audio -> Export MP3/WAV to Video Editor,Suno AI Music Generation Guide (Technical Yogi),https://www.youtube.com/watch?v=Z7cAMA2Bu9c,Suno AI Music Generation Guide (Ezra Tech),https://www.youtube.com/watch?v=AZ2-Z85aHqU,N/A,N/A
Creative,Freemium,Krea AI,https://www.krea.ai/,Real-time image generation.,Enhance this image to [Resolution]. Style: [Artistic Reference]. Add element: [Object]. Lighting: [Type].,Webcam/Canvas Input -> Real-time Upscale -> Export High-Res Image,Krea AI Realtime Generation (IAmLagana),https://www.youtube.com/watch?v=gA2vleApVZE,Krea AI Realtime Generation Tutorial (Olivio Sarikas),https://www.youtube.com/watch?v=S1h-9PMPcuY,N/A,N/A
Creative,Freemium,Gamma,https://gamma.app/,Generates PPTs from text.,Create a [Number]-slide presentation on [Topic]. Audience: [Target Persona]. Tone: [Professional/Fun]. Outline: [Key Points].,Import Text/Outline -> Generate Slides -> Export to PowerPoint/PDF,Gamma AI PPT Generator Guide (Technology Gyan),https://www.youtube.com/watch?v=vsso7vFU0qU,Gamma App Presentation Tutorial (Teacher's Tech),https://www.youtube.com/watch?v=vsso7vFU0qU,N/A,N/A
Creative,Freemium,Phot.ai,https://www.phot.ai/,AI photo editor & design tool (Canva rival).,Product photography of [Product] on a [Material] surface. Lighting: [Studio/Natural]. Background: [Context].,Upload Raw Photo -> AI Object/Background Edit -> Export Ad Creative,Phot.ai Complete Walkthrough (Technology Gyan),https://www.youtube.com/watch?v=QaFEzzQNVNs,Phot.ai Masterclass for Designers (AppSumo),https://www.youtube.com/watch?v=13YT9SO_9iw,N/A,N/A
Creative,Freemium,Gemini Canvas,https://gemini.google.com/app,Turns research docs into presentation slides.,Transform this attached research document into a [Number]-slide pitch deck. Audience: [Investors]. Tone: [Confident].,Drive/Docs Import -> Canvas Interface -> Generate PPT/Doc Drafts,Gemini Canvas PPT Tutorial (PowerPoint School Hindi),https://www.youtube.com/watch?v=a1gOrnY5aPY,Gemini Canvas for Power Users (Simpletivity),https://huggingface.co/blog/proflead/gemini-canvas,N/A,N/A
Creative,Paid (Standard),Midjourney,https://www.midjourney.com/,Generates hyper-realistic artistic images.,Cinematic shot of [Subject] in [Environment]. Style: [Art Style]. Lighting: [Type]. --ar 16:9 --v 6.0,Discord/Web Prompt -> Upscale/Vary Region -> Export PNG to Editor,Midjourney AI Full Course (GFX Mentor),https://www.youtube.com/watch?v=XvCnYkmBDxY,Midjourney V6 Masterclass (Thaeyne),https://www.youtube.com/watch?v=SxXsbqYtcHY,N/A,N/A
Creative,Freemium,Minimax,https://www.minimax.io/,Generates realistic music and speech audio.,Generate a video of [Subject] performing [Action]. Camera movement: [Pan/Zoom]. Mood: [Adjective].,Text/Audio Input -> Video/Speech Generation -> Export MP4/WAV,MiniMax Hailuo Video Gen Tutorial (Nitish Verma),https://www.youtube.com/watch?v=OEfjH9cQkk0,MiniMax Video Generation Guide (The AI Advantage),https://blog.segmind.com/minimax-ai-guide-2025-features-comparison-and-tips/,N/A,N/A
Data,Freemium,Apify,https://apify.com/,Scrapes data from Maps/Instagram to Excel.,"Scrape [Data Field] from [Website URL]. Handle pagination and export the clean data to [Format, e.g., JSON].",Scrape Website/Instagram -> Output JSON/CSV -> Feed into n8n/Zapier,Apify Web Scraping Tutorial (Code With Harry),https://www.youtube.com/watch?v=wk8joeKtXBA,Apify Web Scraping Tutorial - Python & JS (Apify Official),https://www.youtube.com/watch?v=uFvdjnq5ofE,N/A,N/A
Dev,Free,Google AI Studio,https://aistudio.google.com/,Test Gemini prompts & build simple apps.,System: You are [Role]. User: [Input Data]. Task: Analyze and generate [Output] based on [Parameters].,Prompt Testing -> Get API Key -> Integrate Gemini Model into Python/JS App,Google AI Studio & Gemini API (Google Cloud Tech India),https://www.youtube.com/watch?v=goXsgKVtmqU,Google AI Studio & Gemini API Guide (Google Cloud Tech),https://www.youtube.com/watch?v=y6tQWpX6bX4,N/A,N/A
Dev,Freemium,OpenRouter,https://openrouter.ai/,One API key to access GPT-4,Route this prompt '[Prompt]' to the most cost-effective model capable of handling [Task Complexity].,"Single API Key -> Connects to Frontend Apps (e.g., TypingMind) -> Access 100+ Models",OpenRouter API Integration Guide (CodeWithHarry),https://www.youtube.com/watch?v=OkMep9yQICM,OpenRouter API Guide - Unified LLM Access (Matthew Berman),https://www.youtube.com/watch?v=tI8L45Q2kDw,N/A,N/A
Dev,Freemium,Supabase,https://supabase.com/,Instant backend & database for AI apps.,"Create a table for [Entity] with columns: [Col1, Col2]. Enable Row Level Security to allow read access only to [User Role].",Connect Frontend -> Auto-generate Database/Auth -> Real-time Sync,Supabase Crash Course (Chai aur Code),https://www.youtube.com/watch?v=j23X7Ys2CL0,Supabase Full Stack Guide (Traversy Media),https://stormwindstudios.com/courses/supabase-crash-course,N/A,N/A
Meeting,Freemium,Fireflies,https://fireflies.ai/,Records & summarizes meetings.,Summarize this meeting. List action items for [Person Name]. Highlight key decisions regarding [Project].,Connects to Zoom/Teams/Meet -> Transcribes -> Pushes Notes to Slack/Notion/CRM,Fireflies.ai Meeting Note Taker (Grow With Google),https://www.youtube.com/watch?v=8aJKcyIDPCI,Fireflies.ai Meeting Note Taker Guide (Simpletivity),https://www.youtube.com/watch?v=V3Q4i9nEyrc,N/A,N/A
Productivity,Paid (Usage/Enterprise),Slack AI,https://slack.com/,Summarizes team chats & finds internal docs.,Summarize the unread messages in #[Channel Name]. What was the consensus regarding [Topic]? List any urgent blockers.,Integrates within Slack Workspace -> Summarizes Threads -> Search Internal Knowledge,Slack AI Features & Tutorial (Slack Community India),https://www.youtube.com/results?search_query=slack+ai+tutorial+hindi,Slack AI Features Overview (Slack Help),https://www.youtube.com/watch?v=p4vWvvGvjMI,N/A,N/A
Productivity,Paid (Standard),Numerous.ai,https://numerous.ai/,Generates Excel formulas inside spreadsheets.,"""=AI(""""Classify the sentiment of the text in cell A2 as Positive, Neutral, or Negative"""")""",Excel/Sheet Extension -> Drag Formula -> Process 1000+ Rows Bulk,Numerous.ai Excel Formula Gen (Skill Leap AI),https://www.youtube.com/watch?v=IZICKsfmNus,Numerous.ai for Data Analysis (Jeff Su),https://www.youtube.com/watch?v=E7YiKBeOneo,N/A,N/A
Productivity,Free,Comet (Perplexity),https://www.perplexity.ai/comet,Automates LinkedIn messages & browser tasks.,Context: [Role]. Task: [Action]. Constraints: [No fluff]. Output: [Table/List].,Browser Extension -> Sidebar Trigger -> Automates LinkedIn/Web Actions,Comet Browser Agent Guide (AI Sansar),https://www.youtube.com/watch?v=o-ew4RtMok0,Automate LinkedIn with Comet (Matthew Berman),https://www.youtube.com/watch?v=yGOxf6XO5sI,N/A,N/A
Productivity,Freemium,Emily,https://meetemily.ai/,Summarizes videos and meetings automatically.,Summarize this meeting. List action items for [Person Name] and flag any deadlines mentioned regarding [Project].,Connect Calendar -> Auto-join Meeting -> Transcribe -> Email Summary,AI Meeting Summarizer Guide (Technology Gyan),https://www.youtube.com/watch?v=wuKMzz56Z_U,MeetEmily.ai Email Assistant Guide (Keep Productive),https://get.mem.ai/blog/boost-productivity-with-your-ai-digital-assistant,N/A,N/A
Research,Freemium,Perplexity,https://perplexity.ai/,Search engine with citations.,"Research [Topic] focusing specifically on [Aspect]. Provide [Number] citations and summarize in [Format, e.g., Bullet points].",Chrome Extension Query -> Citations -> Export to Clipboard/Docs for Drafting,Perplexity AI Search Engine Guide (Technical Guruji),https://www.youtube.com/watch?v=n6vOpNuOX7I,Perplexity AI Complete Guide - Research Workflows (Teacher's Tech),https://www.youtube.com/watch?v=4s5i7h5nF5w,N/A,N/A
Research,Free,NotebookLM,https://notebooklm.google/,Turns notes into Audio Podcast.,Upload [Document]. Summarize the key arguments regarding [Topic] and explain [Complex Concept] in simple terms.,Import Google Drive/PDFs -> Generate Audio Overview -> Listen on Mobile/Web,NotebookLM Complete Guide (Akash Kailashiya),https://www.youtube.com/watch?v=Cpj_AIV83fs,Google NotebookLM Tutorial - The Second Brain (Tiago Forte),https://www.youtube.com/watch?v=I1XvXQ0_5sM,N/A,N/A
Research,Free,DeepSeek,https://chat.deepseek.com/,High-IQ Reasoning AI (ChatGPT Rival).,Explain the reasoning behind [Code/Concept]. Think step-by-step. Optimize the solution for [Efficiency/Speed].,API Access -> Integrate into IDE/App -> Local LLM Distillation,DeepSeek R1 vs ChatGPT (CodeWithHarry),https://www.youtube.com/watch?v=JaumLpxz9Mc,DeepSeek R1 Explained - Reasoning Models (Matthew Berman),https://www.youtube.com/watch?v=T17c8eXN3t4,N/A,N/A
Research,Freemium,Genspark,https://genspark.ai/,Generates custom wiki pages on any topic.,"Create a wiki-style page for [Niche Topic]. Include sections for: History, Core Concepts, and Future Trends.",Search Query -> Generate Sparkpage -> Share as Web Link/PDF,Genspark AI Search Engine Tutorial (Skill Leap AI),https://www.youtube.com/watch?v=Gqbm0HtATKQ,Genspark AI Search Guide (Skill Leap AI),https://www.youtube.com/watch?v=QMxBZw3D08c,N/A,N/A
Research,Freemium,Multi (GetMulti),https://getmulti.ai/,Chat with multiple AI models simultaneously.,[Prompt]. Compare the reasoning of GPT-4o vs Claude 3.5 Sonnet. Highlight the difference in [Specific Aspect].,Single Prompt -> Runs Parallel on GPT/Claude/Gemini -> Compare & Merge,Multi AI Model Comparison (Technical Guruji),https://www.youtube.com/watch?v=-Fph7BT6Rw4,GetMulti.ai Model Comparison Workflow (Matthew Berman),https://www.youtube.com/watch?v=I51Xg0uCZHs,N/A,N/A
Research,Freemium,Grok,https://grok.com/,Real-time research using X (Twitter) data.,Analyze real-time sentiment on X regarding [Topic]. Summarize top 3 arguments from verified accounts.,Real-time X (Twitter) Data -> Sentiment Analysis -> Trend Report Output,Grok AI Agent Workflow (Akash Kailashiya),https://www.youtube.com/watch?v=glqGphXepxY,Grok 2 Advanced Guide & Features (Matt Wolfe),https://www.youtube.com/watch?v=pHnpCm0VnIg,N/A,N/A
Video,Freemium,Kling AI,https://klingai.com/,Generates realistic 5s+ videos.,Cinematic shot of [Subject] performing [Action] in [Location]. Lighting: [Type]. Camera movement: [Direction]. Style: [Reference].,Input Image (Midjourney) -> Animate in Kling -> Export MP4 to Editor,Kling AI Video Generator Guide (Rahulogy),https://www.youtube.com/watch?v=JIwZsMw1f4E,Kling AI Video Generator Guide (The AI Advantage),https://www.youtube.com/watch?v=eYeCzAoG5Kk,N/A,N/A
Video,Freemium,HeyGen,https://heygen.com/,Marketing videos with talking avatars.,Generate a video of a [Avatar Description] speaking about [Topic]. Tone: [Emotion]. Script: [Paste Text].,Script from ChatGPT -> Avatar Generation -> Export to YouTube/LMS/Socials,HeyGen AI Avatar Tutorial (Technology Gyan),https://www.youtube.com/watch?v=eFwx6fyDOmU,HeyGen AI Avatar Tutorial (Kevin Stratvert),https://www.youtube.com/watch?v=wICY3ZV15QA,N/A,N/A
Video,Freemium,Runway,https://runwayml.com/,Pro AI video editing (Gen-3).,"Generate a video morphing from [Image A] to [Image B]. Style: [Art Style, e.g., Cyberpunk]. Motion: [Speed].",Text/Image Input -> Gen-3 Alpha Generation -> Export for After Effects/Premiere,Runway Gen-3 Alpha Explained (GFX Mentor),https://www.youtube.com/watch?v=8kqyGHDOkKo,Runway Gen-3 Alpha Guide - AI Filmmaking (Matt Wolfe),https://www.youtube.com/watch?v=q4qWSt4vSGM,N/A,N/A
Video,Freemium,Google Flow,https://labs.google/fx/tools/flow,Generates cinematic clips & visualizes storyboards.,Visualize a storyboard for [Scene Description]. Visual style: [Cinematic/Cartoon]. Atmosphere: [Mood].,Storyboards/Assets Import -> Generate Transitions -> Export Video File,Google Flow & VideoFX Tutorial (Akash Kailashiya),https://www.youtube.com/watch?v=hbjeCT1wJ3k,Google ImageFX & VideoFX Tutorial (Google Official),https://www.youtube.com/watch?v=wX-y8GvjXzU,N/A,N/A
Video,Freemium,Higgsfield,https://higgsfield.ai/,Creates controllable AI videos with camera moves.,Generate a video of [Character] doing [Action] in [Setting]. Camera: [Move Type]. Vibe: [Adjective].,Mobile App Input -> AI Motion Control -> Export to TikTok/Instagram,Higgsfield AI Video Creator Guide (AI Wala),https://www.youtube.com/watch?v=nnGFEUeL-P0,How To Use Higgsfield AI - Mobile Video Gen (Dream Art Records),https://www.youtube.com/watch?v=BE85JcJtdjo,N/A,N/A
